,Postal_district,Neighbourhood
0,Dublin 1, Amiens St
1,Dublin 1, Capel St
2,Dublin 1, Dorset St
3,Dublin 1, Henry St
4,Dublin 1, Mountjoy Sq
5,Dublin 1, Marlboro St
6,Dublin 1, North Wall
7,Dublin 1, O’Connell St
8,Dublin 1, Parnell Sq
9,Dublin 1, Talbot St
10,Dublin 2, College Green
11,Dublin 2, Fitzwilliam Square
12,Dublin 2, Harcourt Street
13,Dublin 2, Kildare Street
14,Dublin 2, Lord Edward Street
15,Dublin 2, Merrion Square
16,Dublin 2," Mount Street Upper, and Lower"
17,Dublin 2, Nassau Street
18,Dublin 2, Pearse Street
19,Dublin 2, St. Stephen’s Green
20,Dublin 2, South Great Georges Street
21,Dublin 2, Leeson Street Upper and Lower
22,Dublin 3, Cloniffe
23,Dublin 3, Clontarf
24,Dublin 3, Dollymount
25,Dublin 3, East Wall
26,Dublin 3, Fairview
27,Dublin 3, Marino
28,Dublin 4, Donnybrook
29,Dublin 4, Irishtown
30,Dublin 4, Merrion
31,Dublin 4, Pembroke
32,Dublin 4, Ringsend
33,Dublin 4, Sandymount
34,Dublin 5, Harmonstown
35,Dublin 5, Raheny
36,Dublin 6, Ranelagh
37,Dublin 6, Rathmines
38,Dublin 6, Rathgar
39,Dublin 6W, Templeogue
40,Dublin 6W, Terenure
41,Dublin 7, Cabra
42,Dublin 7, Phibsborough
43,Dublin 7, Four Courts
44,Dublin 8, Inchicore
45,Dublin 8, Island Bridge
46,Dublin 8, Kilmainham
47,Dublin 8, Merchants Quay
48,Dublin 8, Portobello
49,Dublin 8, South Circular Road
50,Dublin 8, The Coombe
51,Dublin 9, Drumcondra
52,Dublin 9, Elm Mount
53,Dublin 9, Griffith Avenue
54,Dublin 9, Santry
55,Dublin 9, Whitehall
56,Dublin 11, Cappagh
57,Dublin 11, Cremore
58,Dublin 11, Dubber
59,Dublin 11, Finglas
60,Dublin 11, Jamestown
61,Dublin 11, Kilshane
62,Dublin 11, Wadelai
63,Dublin 12, Crumlin
64,Dublin 12, Drimnagh
65,Dublin 12, Walkinstown
66,Dublin 13, Bayside
67,Dublin 13, Donaghmede
68,Dublin 13, Sutton
69,Dublin 13, Howth
70,Dublin 14, Dundrum
71,Dublin 14, Goatstown
72,Dublin 14, Roebuck
73,Dublin 14, Windy Arbour
74,Dublin 14, Clonskeagh
75,Dublin 15, Castleknock
76,Dublin 15, Clonee
77,Dublin 15, Clonsilla
78,Dublin 15, Corduff
79,Dublin 15, Mulhuddart
80,Dublin 16, Ballyboden
81,Dublin 16, Knocklyon
82,Dublin 16, Sandyford
83,Dublin 17, Balgrifin
84,Dublin 17, Clonshaugh
85,Dublin 17, Priorswood
86,Dublin 17, Darndale
87,Dublin 17, Riverside
88,Dublin 18, Carrickmines
89,Dublin 18, Foxrock
90,Dublin 18, Kilternan
91,Dublin 18, Sandyford
92,Dublin 18, Ticknock
93,Dublin 18, Ballyedmonduff
94,Dublin 18, Stepaside
95,Dublin 18, Leopardstown
96,Dublin 20, Palmerstown
97,Dublin 22, Clondalkin
98,Dublin 22, Neilstown
99,Dublin 24, Jobstown
100,Dublin 24, Kilnamanagh
101,Dublin 24, Oldbawn
102,Dublin 24, Tallaght
